X,Y
250.0,250.0
249.38345699955696,246.0478012792112
248.75726286201325,242.09712021107802
248.11991361881917,238.14822341042597
247.4697894108101,234.2014096937476
246.80514240806036,230.25701565134568
246.12408313045745,226.31542228566335
245.4245649172052,222.37706294841027
244.70436624864547,218.44243286696616
243.96107057051793,214.51210062466438
243.19204320758467,210.58672205501534
241.55186349476497,206.93846075548447
239.91168378194527,203.2901994559536
238.27150406912557,199.64193815642273
236.63132435630587,195.99367685689185
234.99114464348617,192.34541555736098
233.35096493066646,188.6971542578301
231.71078521784676,185.04889295829923
230.07060550502706,181.40063165876836
228.43042579220736,177.7523703592375
226.79024607938766,174.10410905970662
225.15006636656796,170.45584776017574
223.50988665374825,166.80758646064487
221.86970694092855,163.159325161114
220.22952722810885,159.51106386158312
218.58934751528915,155.86280256205225
216.94916780246945,152.21454126252138
215.30898808964974,148.5662799629905
213.47078830345365,145.0136722523041
211.43512043457608,141.57040979823245
209.17537763794243,138.26987007069357
206.66340656551776,135.15699337360104
203.8721573065448,132.29187076291177
200.7810941173307,129.75310563783904
197.38563117470517,127.63867157519796
193.71046327714558,126.0597032649563
189.82203409182836,125.12155696998235
185.82862426168478,124.89204024180638
181.85746918924727,125.3715476876858
178.92047343053622,128.08706898447457
175.98347767182517,130.80259028126332
173.04648191311412,133.51811157805207
170.10948615440307,136.23363287484082
167.17249039569202,138.94915417162957
164.23549463698097,141.66467546841832
161.29849887826992,144.38019676520707
158.36150311955888,147.09571806199583
154.6442941539691,148.5729985046129
151.11668715037135,150.45873147302814
147.7459910491948,152.6124277825187
144.4870769312334,154.93179812201856
141.29737403836947,157.34546658625626
138.14227375986715,159.8041943533331
134.99581211657824,162.27396744560525
131.83953261668145,164.73118125773706
