X,Y
300.0,0.0
299.9543085469174,5.235721931185053
299.8172481057287,10.469849010750291
299.58886042637215,15.70078687288315
299.26921507794725,20.92694212323759
298.85840942752367,26.14672282429745
298.356568610482,31.358538980296043
297.76384549239657,36.560803021544245
297.0804206224711,41.75193028801963
296.30650217854134,46.93033951206926
295.4423259036624,52.0944533000791
294.4881550342992,57.242698612963444
293.4442802201417,62.3735072453278
292.3110194355706,67.48531630315951
291.08871788279896,72.57656867990032
289.7777478867205,77.64571353075623
288.37850878149567,82.69120674509975
286.8914267889106,87.71151141682103
285.31695488854604,92.70509831248422
283.65557267979506,97.67044633714701
281.9077862357725,102.60604299770061
280.0741279491605,107.51038486359008
278.15515637003625,112.3819780247736
276.1514560357321,117.21933854678213
274.06363729278024,122.02099292274006
271.89233611099496,126.78547852220983
269.6382138897501,131.51134403672322
267.3019572565104,136.19714992186402
264.8842778576781,140.84146883576724
262.3859121418187,145.44288607390112
259.8076211353316,149.99999999999997
257.1501902106337,154.51142247301624
254.4144288469278,158.97577926996146
251.60117038362722,163.39171050450813
248.7112717665125,167.75787104122406
245.74561328669753,172.07293090531383
242.70509831248424,176.33557568774194
239.59065301418784,180.54450694561447
236.40322608201657,184.6984425976975
233.14378843709127,188.7961173149512
229.8133329356934,192.83628290596178
226.4128740668316,196.81770869715217
222.94344764321826,200.73918190765747
219.40611048575113,204.59950801874953
215.80194010159536,208.39751113769918
212.13203435596427,212.13203435596427
208.39751113769918,215.80194010159536
204.59950801874953,219.40611048575113
200.73918190765747,222.94344764321826
196.81770869715217,226.4128740668316
192.8362829059618,229.8133329356934
188.79611731495126,233.14378843709127
184.6984425976975,236.4032260820166
180.5445069456145,239.59065301418784
176.33557568774194,242.70509831248424
172.07293090531383,245.74561328669753
167.75787104122404,248.7112717665125
163.39171050450813,251.60117038362722
158.97577926996146,254.41442884692782
154.51142247301624,257.1501902106337
150.00000000000003,259.8076211353316
145.44288607390112,262.3859121418187
140.84146883576724,264.88427785767806
136.19714992186405,267.3019572565103
131.51134403672324,269.6382138897501
126.78547852220983,271.89233611099496
122.02099292274006,274.06363729278024
117.21933854678211,276.1514560357321
112.38197802477359,278.15515637003625
107.51038486359012,280.0741279491605
102.60604299770064,281.9077862357725
97.67044633714703,283.655572679795
92.70509831248424,285.31695488854604
87.71151141682103,286.8914267889106
82.69120674509975,288.37850878149567
77.64571353075623,289.7777478867205
72.5765686799003,291.08871788279896
67.48531630315948,292.3110194355706
62.373507245327836,293.44428022014165
57.24269861296347,294.4881550342992
52.094453300079124,295.4423259036624
46.930339512069274,296.30650217854134
41.751930288019636,297.0804206224711
36.560803021544245,297.76384549239657
31.358538980296036,298.356568610482
26.14672282429744,298.85840942752367
20.92694212323757,299.26921507794725
15.70078687288319,299.58886042637215
10.469849010750323,299.8172481057287
5.235721931185079,299.9543085469174
1.8369701987210297e-14,300.0
-5.235721931185043,299.9543085469174
-10.469849010750286,299.8172481057287
-15.700786872883153,299.58886042637215
-20.9269421232376,299.26921507794725
-26.14672282429747,298.85840942752367
-31.358538980296068,298.356568610482
-36.56080302154421,297.7638454923966
-41.75193028801961,297.0804206224711
-46.930339512069246,296.30650217854134
-52.09445330007909,295.4423259036624
-57.242698612963444,294.4881550342992
-62.3735072453278,293.4442802201417
-67.48531630315951,292.3110194355706
-72.57656867990033,291.08871788279896
-77.64571353075625,289.7777478867205
-82.69120674509972,288.37850878149567
-87.711511416821,286.8914267889107
-92.7050983124842,285.3169548885461
-97.670446337147,283.65557267979506
-102.60604299770061,281.9077862357725
-107.51038486359008,280.0741279491605
-112.38197802477362,278.15515637003625
-117.21933854678215,276.15145603573205
-122.02099292274008,274.06363729278024
-126.7854785222098,271.892336110995
-131.51134403672324,269.6382138897501
-136.19714992186402,267.3019572565104
-140.84146883576727,264.88427785767806
-145.4428860739011,262.3859121418188
-149.99999999999994,259.8076211353316
-154.51142247301627,257.1501902106337
-158.97577926996144,254.41442884692782
-163.39171050450813,251.60117038362722
-167.757871041224,248.7112717665125
-172.07293090531385,245.7456132866975
-176.3355756877419,242.70509831248424
-180.5445069456145,239.5906530141878
-184.6984425976975,236.4032260820166
-188.79611731495118,233.1437884370913
-192.8362829059618,229.8133329356934
-196.81770869715214,226.41287406683165
-200.73918190765747,222.94344764321826
-204.5995080187495,219.40611048575119
-208.3975111376992,215.80194010159533
-212.13203435596424,212.13203435596427
-215.8019401015954,208.39751113769915
-219.40611048575113,204.59950801874953
-222.94344764321824,200.7391819076575
-226.4128740668316,196.81770869715217
-229.81333293569338,192.83628290596184
-233.14378843709127,188.7961173149512
-236.40322608201657,184.69844259769752
-239.5906530141879,180.54450694561444
-242.7050983124842,176.33557568774197
-245.74561328669756,172.07293090531377
-248.71127176651248,167.75787104122406
-251.6011703836272,163.39171050450818
-254.4144288469278,158.97577926996146
-257.15019021063364,154.51142247301632
-259.8076211353316,149.99999999999997
-262.3859121418187,145.44288607390115
-264.8842778576781,140.84146883576722
-267.3019572565103,136.19714992186405
-269.6382138897501,131.5113440367232
-271.89233611099496,126.78547852220984
-274.06363729278024,122.02099292274013
-276.1514560357321,117.21933854678213
-278.1551563700362,112.38197802477367
-280.0741279491605,107.51038486359006
-281.9077862357725,102.60604299770067
-283.65557267979506,97.67044633714697
-285.31695488854604,92.70509831248425
-286.8914267889107,87.71151141682098
-288.37850878149567,82.69120674509976
-289.7777478867205,77.64571353075631
-291.08871788279896,72.57656867990032
-292.31101943557053,67.48531630315956
-293.4442802201417,62.373507245327794
-294.4881550342992,57.242698612963494
-295.4423259036624,52.09445330007908
-296.3065021785413,46.930339512069295
-297.0804206224711,41.7519302880196
-297.76384549239657,36.56080302154427
-298.356568610482,31.35853898029612
-298.85840942752367,26.14672282429746
-299.26921507794725,20.92694212323766
-299.58886042637215,15.700786872883143
-299.8172481057287,10.469849010750343
-299.9543085469174,5.235721931185032
-300.0,3.6739403974420595e-14
-299.9543085469174,-5.235721931185091
-299.8172481057287,-10.46984901075027
-299.58886042637215,-15.70078687288307
-299.26921507794725,-20.926942123237584
-298.85840942752367,-26.146722824297385
-298.356568610482,-31.35853898029605
-297.7638454923966,-36.560803021544196
-297.0804206224711,-41.75193028801966
-296.30650217854134,-46.93033951206922
-295.4423259036624,-52.09445330007914
-294.4881550342992,-57.242698612963416
-293.44428022014165,-62.37350724532785
-292.3110194355706,-67.4853163031595
-291.08871788279896,-72.57656867990025
-289.7777478867205,-77.64571353075624
-288.37850878149567,-82.6912067450997
-286.8914267889106,-87.71151141682103
-285.3169548885461,-92.70509831248418
-283.655572679795,-97.67044633714703
-281.9077862357725,-102.6060429977006
-280.0741279491605,-107.51038486359013
-278.15515637003625,-112.3819780247736
-276.1514560357321,-117.21933854678207
-274.06363729278024,-122.02099292274006
-271.892336110995,-126.78547852220979
-269.6382138897501,-131.51134403672324
-267.3019572565104,-136.197149921864
-264.88427785767806,-140.84146883576724
-262.3859121418188,-145.4428860739011
-259.8076211353316,-150.00000000000003
-257.1501902106337,-154.51142247301624
-254.41442884692782,-158.97577926996144
-251.60117038362722,-163.39171050450813
-248.7112717665125,-167.757871041224
-245.74561328669753,-172.07293090531385
-242.70509831248424,-176.3355756877419
-239.59065301418784,-180.5445069456145
-236.4032260820166,-184.69844259769746
-233.14378843709125,-188.7961173149513
-229.8133329356934,-192.83628290596178
-226.41287406683165,-196.8177086971521
-222.94344764321826,-200.73918190765747
-219.40611048575119,-204.5995080187495
-215.80194010159533,-208.39751113769918
-212.1320343559643,-212.13203435596424
-208.39751113769918,-215.80194010159536
